"character_id","assembly_id","character_type","character_kind","body_id","cloth_id","leg_id","foot_id","head_id","hair_id","face_id","mouth_id","npack_id","cap_id","fhadorn_id","thadorn_id","cladorn_id","default_palette_id","direct_parts","bake_enabled","tags","notes"
"10101","10101","1","regular_colorable","1","10101","10101","1","1","10101","10101","","10101","","10101","","","default","cloth;face;fhadorn;hair;leg;npack","True","auto_assembly_v1;resource;regular_colorable",""
"10201","10201","1","regular_colorable","1","10201","10201","1","1","10201","10201","","","10201","","","","default","cap;cloth;face;hair;leg","True","auto_assembly_v1;resource;regular_colorable",""
"10301","10301","1","regular_colorable","1","10301","","1","1","10301","10301","","10301","10301","","","","default","cap;cloth;face;hair;npack","True","auto_assembly_v1;resource;regular_colorable",""
"10401","10401","1","regular_colorable","1","10401","10401","1","1","10401","10401","","","10401","","","","default","cap;cloth;face;hair;leg","True","auto_assembly_v1;resource;regular_colorable",""
"10501","10501","1","regular_colorable","1","10501","10501","1","1","10501","10501","","","10501","","","","default","cap;cloth;face;hair;leg","True","auto_assembly_v1;resource;regular_colorable",""
"10601","10601","1","regular_colorable","1","10601","10601","1","1","10601","10601","","10601","","10601","","","default","cloth;face;fhadorn;hair;leg;npack","True","auto_assembly_v1;resource;regular_colorable",""
"10701","10701","1","regular_colorable","1","10701","10701","1","1","10701","10701","","","10701","10701","","","default","cap;cloth;face;fhadorn;hair;leg","True","auto_assembly_v1;resource;regular_colorable",""
"10801","10801","1","regular_colorable","1","10801","10801","1","1","10801","10801","","","10801","","","","default","cap;cloth;face;hair;leg","True","auto_assembly_v1;resource;regular_colorable",""
"10901","10901","1","regular_colorable","1","10901","10901","1","1","10901","10901","","","","","","","default","cloth;face;hair;leg","True","auto_assembly_v1;resource;regular_colorable",""
"11001","11001","3","regular_colorable","","11001","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;resource;regular_colorable",""
"11101","11101","3","regular_colorable","","11101","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;resource;regular_colorable",""
"11301","11301","2","regular_colorable","1","11301","11301","1","1","11301","11301","","","","","","","default","cloth;face;hair;leg","True","auto_assembly_v1;resource;regular_colorable",""
"11401","11401","2","regular_colorable","1","11401","11401","1","1","11401","11401","","","11401","","","","default","cap;cloth;face;hair;leg","True","auto_assembly_v1;resource;regular_colorable",""
"11501","11501","2","regular_colorable","1","11501","11501","1","1","11501","11501","11501","","","","","","default","cloth;face;hair;leg;mouth","True","auto_assembly_v1;resource;regular_colorable",""
"11601","11601","2","regular_colorable","1","11601","11601","1","1","11601","11601","","","11601","","","","default","cap;cloth;face;hair;leg","True","auto_assembly_v1;resource;regular_colorable",""
"11701","11701","0","regular_colorable","1","","","1","1","","","","","","","","","default","","True","auto_assembly_v1;missing_cloth;missing_direct_parts;missing_face;missing_hair;resource;regular_colorable","no direct source_id parts matched; cloth missing"
"11801","11801","1","regular_colorable","1","11801","11801","1","1","11801","11801","","","11801","","","","default","cap;cloth;face;hair;leg","True","auto_assembly_v1;resource;regular_colorable",""
"11901","11901","1","regular_colorable","1","11901","11901","1","1","11901","11901","","","11901","","","","default","cap;cloth;face;hair;leg","True","auto_assembly_v1;resource;regular_colorable",""
"12001","12001","1","regular_colorable","1","12001","12001","1","1","12001","12001","","","","","","","default","cloth;face;hair;leg","True","auto_assembly_v1;resource;regular_colorable",""
"12101","12101","1","regular_colorable","1","12101","","1","1","12101","12101","","","","","","","default","cloth;face;hair","True","auto_assembly_v1;resource;regular_colorable",""
"12201","12201","1","regular_colorable","1","12201","12201","1","1","12201","12201","","","","","","","default","cloth;face;hair;leg","True","auto_assembly_v1;resource;regular_colorable",""
"12301","12301","5","room_random_placeholder","","12301","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;resource;room_random_placeholder",""
"12401","12401","0","monster_or_boss","","12401","","","","","","","","","","","","default","cladorn;cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"12501","12501","0","monster_or_boss","","12501","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"12601","12601","0","monster_or_boss","","12601","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"12701","12701","0","monster_or_boss","","12701","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"12801","12801","0","monster_or_boss","","12801","","","","","","","","","","","","default","cladorn;cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"12901","12901","0","monster_or_boss","","12901","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"13000","13000","0","transform_body","13000","","","1","1","","","","","","","","","default","body","True","auto_assembly_v1;body_only;resource;transform_body","body-only transform source"
"13001","13001","0","monster_or_boss","","13001","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"13101","13101","0","monster_or_boss","","13101","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"13201","13201","0","monster_or_boss","","13201","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
