"part","source_id","action","variant","source_direction","project_direction","source_path","relative_path","frame_width","frame_height","frame_count","source_format","naming_separator","content_hash"
"body","1","stand","","0","right","external/assets/source/res/object/body/body1_stand.0.png","body/body1_stand.0.png","100","100","1","png",".","sha256:a7cf01fd3001b8c72f4ed603e17cf8c81824673bde622dd91197da0fdac5ac14"
"body","1","stand","","0","right","external/assets/source/res/object/body/body1_stand_0.png","body/body1_stand_0.png","100","100","1","png","_","sha256:a7cf01fd3001b8c72f4ed603e17cf8c81824673bde622dd91197da0fdac5ac14"
"body","1","stand","","1","up","external/assets/source/res/object/body/body1_stand.1.png","body/body1_stand.1.png","100","100","1","png",".","sha256:6f36aa78c9e8ceb275e0a6ee77a544ddf675ba842e6cc3cfae8a1223a9ee6e10"
"body","1","stand","","1","up","external/assets/source/res/object/body/body1_stand_1.png","body/body1_stand_1.png","100","100","1","png","_","sha256:6f36aa78c9e8ceb275e0a6ee77a544ddf675ba842e6cc3cfae8a1223a9ee6e10"
"body","1","stand","","2","left","external/assets/source/res/object/body/body1_stand.2.png","body/body1_stand.2.png","100","100","1","png",".","sha256:89b06bddffcd3a891d9ab904b1065d493698866071b923b3e53019b8b717c9ec"
"body","1","stand","","2","left","external/assets/source/res/object/body/body1_stand_2.png","body/body1_stand_2.png","100","100","1","png","_","sha256:89b06bddffcd3a891d9ab904b1065d493698866071b923b3e53019b8b717c9ec"
"body","1","stand","","3","down","external/assets/source/res/object/body/body1_stand.3.png","body/body1_stand.3.png","100","100","1","png",".","sha256:2616786d71f1c03d8458ca0592eb46c1d35f4decfc21262d17f22aeb9f9ea6b2"
"body","1","stand","","3","down","external/assets/source/res/object/body/body1_stand_3.png","body/body1_stand_3.png","100","100","1","png","_","sha256:2616786d71f1c03d8458ca0592eb46c1d35f4decfc21262d17f22aeb9f9ea6b2"
"body","1","walk","","0","right","external/assets/source/res/object/body/body1_walk_0.gif","body/body1_walk_0.gif","100","100","6","gif","_","sha256:623830efbca0054e6144e3e6208be71b6b53f0d3e8d8e1d24eba2f8ff5bd2488"
"body","1","walk","","1","up","external/assets/source/res/object/body/body1_walk_1.gif","body/body1_walk_1.gif","100","100","6","gif","_","sha256:58b34a06b018a69eba7d46adeecd754191e25bc7911fe06c0da3d6ec474b2e80"
"body","1","walk","","2","left","external/assets/source/res/object/body/body1_walk_2.gif","body/body1_walk_2.gif","100","100","6","gif","_","sha256:4188a9ba3511970a132659dd19d66198e02dfa5aaae3b99a7ba2255890c21d32"
"body","1","walk","","3","down","external/assets/source/res/object/body/body1_walk_3.gif","body/body1_walk_3.gif","100","100","6","gif","_","sha256:39a5f0b48f1f06fdf3fa5dd62f45f04f456359da87fb3f92c3b7720e9afb4a10"
"body","13000","stand","","","","external/assets/source/res/object/body/body13000_stand.gif","body/body13000_stand.gif","100","100","3","gif","","sha256:49b1f8b0d82819546649e3b2e2e5fc64610a233b662e863ef9168170150df837"
"body","13000","walk","","","","external/assets/source/res/object/body/body13000_walk.gif","body/body13000_walk.gif","100","100","3","gif","","sha256:49b1f8b0d82819546649e3b2e2e5fc64610a233b662e863ef9168170150df837"
